2026-05-16 01:19:20,008 [INFO] Starting node6 | zone=zone2 | devAddr=00000006 | mode=NORMAL | seed=453
2026-05-16 01:19:20,037 [INFO] [node6] Connected to MQTT broker (ok)
2026-05-16 01:19:21,083 [INFO] [node6] #0000 NORMAL   | T= 14.6°C H= 41.9% LW= 0.3h R= 0.5mm | risk=LOW      | ok
2026-05-16 01:24:21,084 [INFO] [node6] #0001 NORMAL   | T= 13.4°C H= 40.7% LW= 1.4h R= 0.5mm | risk=LOW      | ok
2026-05-16 01:29:21,085 [INFO] [node6] #0002 NORMAL   | T= 13.5°C H= 45.8% LW= 0.6h R= 0.4mm | risk=LOW      | ok
2026-05-16 01:34:21,086 [INFO] [node6] #0003 NORMAL   | T= 13.6°C H= 62.7% LW= 1.6h R= 0.3mm | risk=LOW      | ok
2026-05-16 01:39:21,088 [INFO] [node6] #0004 NORMAL   | T= 13.2°C H= 59.6% LW= 0.3h R= 0.2mm | risk=LOW      | ok
2026-05-16 01:44:21,090 [INFO] [node6] #0005 NORMAL   | T= 14.8°C H= 63.2% LW= 1.6h R= 0.6mm | risk=LOW      | ok
2026-05-16 01:49:21,097 [INFO] [node6] #0006 NORMAL   | T= 14.1°C H= 61.1% LW= 0.5h R= 0.5mm | risk=LOW      | ok
2026-05-16 01:54:21,101 [INFO] [node6] #0007 NORMAL   | T= 13.6°C H= 51.6% LW= 1.5h R= 0.0mm | risk=LOW      | ok
2026-05-16 01:59:21,105 [INFO] [node6] #0008 NORMAL   | T= 14.6°C H= 53.9% LW= 1.9h R= 0.9mm | risk=LOW      | ok
2026-05-16 02:04:21,106 [INFO] [node6] #0009 NORMAL   | T= 14.3°C H= 43.0% LW= 1.3h R= 0.5mm | risk=LOW      | ok
2026-05-16 02:09:21,108 [INFO] [node6] #0010 NORMAL   | T= 14.3°C H= 47.0% LW= 0.4h R= 0.0mm | risk=LOW      | ok
2026-05-16 02:14:21,109 [INFO] [node6] #0011 NORMAL   | T= 14.1°C H= 61.2% LW= 1.9h R= 0.6mm | risk=LOW      | ok
2026-05-16 02:19:21,111 [INFO] [node6] #0012 NORMAL   | T= 15.0°C H= 52.5% LW= 1.5h R= 0.2mm | risk=LOW      | ok
2026-05-16 02:24:21,112 [INFO] [node6] #0013 NORMAL   | T= 14.8°C H= 51.5% LW= 2.0h R= 0.4mm | risk=LOW      | ok
2026-05-16 02:29:21,116 [INFO] [node6] #0014 NORMAL   | T= 14.9°C H= 55.6% LW= 1.4h R= 0.5mm | risk=LOW      | ok
2026-05-16 02:34:21,119 [INFO] [node6] #0015 NORMAL   | T= 14.1°C H= 62.3% LW= 0.9h R= 0.2mm | risk=LOW      | ok
2026-05-16 02:39:21,120 [INFO] [node6] #0016 NORMAL   | T= 13.9°C H= 61.5% LW= 1.7h R= 0.5mm | risk=LOW      | ok
2026-05-16 02:44:21,122 [INFO] [node6] #0017 NORMAL   | T= 14.2°C H= 64.7% LW= 0.2h R= 0.1mm | risk=LOW      | ok
2026-05-16 02:49:21,123 [INFO] [node6] #0018 NORMAL   | T= 14.5°C H= 61.4% LW= 1.8h R= 0.9mm | risk=LOW      | ok
