2026-05-16 01:19:18,411 [INFO] Starting node2 | zone=zone1 | devAddr=00000002 | mode=BUILDUP | seed=453
2026-05-16 01:19:18,439 [INFO] [node2] Connected to MQTT broker (ok)
2026-05-16 01:19:19,491 [INFO] [node2] #0000 BUILDUP  | T= 14.0°C H= 65.8% LW= 0.4h R= 1.9mm | risk=LOW      | ok
2026-05-16 01:24:19,493 [INFO] [node2] #0001 BUILDUP  | T= 13.6°C H= 65.3% LW= 0.3h R= 1.8mm | risk=LOW      | ok
2026-05-16 01:29:19,495 [INFO] [node2] #0002 BUILDUP  | T= 14.1°C H= 65.7% LW= 0.7h R= 0.9mm | risk=LOW      | ok
2026-05-16 01:34:19,495 [INFO] [node2] #0003 BUILDUP  | T= 13.3°C H= 65.6% LW= 0.7h R= 0.7mm | risk=LOW      | ok
2026-05-16 01:39:19,496 [INFO] [node2] #0004 BUILDUP  | T= 14.9°C H= 67.4% LW= 0.7h R= 0.4mm | risk=LOW      | ok
2026-05-16 01:44:19,500 [INFO] [node2] #0005 BUILDUP  | T= 14.5°C H= 67.9% LW= 0.9h R= 0.3mm | risk=LOW      | ok
2026-05-16 01:49:19,501 [INFO] [node2] #0006 BUILDUP  | T= 13.6°C H= 68.3% LW= 0.9h R= 1.5mm | risk=LOW      | ok
2026-05-16 01:54:19,505 [INFO] [node2] #0007 BUILDUP  | T= 14.0°C H= 67.6% LW= 1.4h R= 0.7mm | risk=LOW      | ok
2026-05-16 01:59:19,506 [INFO] [node2] #0008 BUILDUP  | T= 13.6°C H= 69.3% LW= 1.4h R= 0.9mm | risk=LOW      | ok
2026-05-16 02:04:19,507 [INFO] [node2] #0009 BUILDUP  | T= 13.9°C H= 69.9% LW= 1.7h R= 2.0mm | risk=LOW      | ok
2026-05-16 02:09:19,509 [INFO] [node2] #0010 BUILDUP  | T= 13.5°C H= 69.3% LW= 1.5h R= 0.8mm | risk=LOW      | ok
2026-05-16 02:14:19,510 [INFO] [node2] #0011 BUILDUP  | T= 13.6°C H= 69.4% LW= 1.9h R= 1.4mm | risk=LOW      | ok
2026-05-16 02:19:19,513 [INFO] [node2] #0012 BUILDUP  | T= 14.5°C H= 70.3% LW= 2.2h R= 1.0mm | risk=LOW      | ok
2026-05-16 02:24:19,515 [INFO] [node2] #0013 BUILDUP  | T= 14.5°C H= 70.6% LW= 2.2h R= 0.5mm | risk=LOW      | ok
2026-05-16 02:29:19,518 [INFO] [node2] #0014 BUILDUP  | T= 14.7°C H= 70.7% LW= 2.4h R= 0.9mm | risk=LOW      | ok
2026-05-16 02:34:19,520 [INFO] [node2] #0015 BUILDUP  | T= 13.4°C H= 72.4% LW= 2.7h R= 0.1mm | risk=LOW      | ok
2026-05-16 02:39:19,521 [INFO] [node2] #0016 BUILDUP  | T= 13.5°C H= 72.6% LW= 2.7h R= 1.1mm | risk=LOW      | ok
2026-05-16 02:44:19,523 [INFO] [node2] #0017 BUILDUP  | T= 15.2°C H= 73.2% LW= 2.6h R= 1.3mm | risk=MODERATE | ok
2026-05-16 02:49:19,524 [INFO] [node2] #0018 BUILDUP  | T= 14.4°C H= 72.4% LW= 3.0h R= 0.5mm | risk=LOW      | ok
